County,State,Infant_Mortality,Suicide,Injury,Total_Births,Total_Deaths
Mercer,KY,7.4,17,27.8,2737,2223
Metcalfe,KY,7,-1111.1,25.3,1278,1192
Monroe,KY,4.6,18.2,55.1,1464,1473
Montgomery,KY,8.7,12.4,24.9,3120,2229
Morgan,KY,5.9,11.9,19.3,1483,1191
Muhlenberg,KY,5.7,13.1,31.9,1929,1950
Nelson,KY,3.3,16,21.9,2697,1549
Nicholas,KY,3.6,-1111.1,30.2,934,820
Ohio,KY,6.7,14.2,31.9,2820,2650
Oldham,KY,5.9,8.8,20.7,2717,1285
Owen,KY,9.9,11.6,28.7,1216,1071
Owsley,KY,3.6,29.3,39.6,633,706
Pendleton,KY,9,16.7,42.4,1846,1221
Perry,KY,6.3,11,47.9,2067,1697
Pike,KY,7.5,12,42.2,3854,3915
Powell,KY,10,10.1,38.9,1864,1235
Pulaski,KY,5.4,14,28.6,3690,3158
Robertson,KY,,-1111.1,-1111.1,248,295
Rockcastle,KY,7.9,16.3,36.6,1973,1747
Rowan,KY,4,11.3,29.1,2518,1685
Russell,KY,5.2,15.9,33.2,1918,1854
Scott,KY,6,14.6,20.9,2668,1199
Shelby,KY,5.3,7.9,22.6,2441,1430
Simpson,KY,8.9,14.9,32.5,2262,1693
Spencer,KY,5,11.6,18,1518,824
Taylor,KY,6.7,19.5,30.1,2799,2458
Todd,KY,6.5,11.7,27.2,1696,1368
Trigg,KY,6.6,11.3,29.5,1333,1442
Trimble,KY,5.4,20.8,22.3,1021,719
Union,KY,9,16.1,27.3,1966,1676
Warren,KY,6.2,14,24.2,6295,3893
Washington,KY,5.7,13,35.3,1349,1193
Wayne,KY,8.6,14.7,27.5,2428,2010
Webster,KY,6.1,12.8,23.4,1797,1648
Whitley,KY,7.8,18.1,36.8,2554,2123
Wolfe,KY,10.4,27.4,36.6,1085,890
Woodford,KY,6.8,10,23.4,2946,1807
Acadia,LA,10.2,11.1,26.1,4628,3026
Allen,LA,6.3,10.1,31.2,3331,2336
Ascension,LA,7.2,10.4,26.6,6780,2595
Assumption,LA,12.7,10.8,23.8,3071,1956
Avoyelles,LA,7.9,15.2,21.3,3148,2440
Beauregard,LA,6.5,14.1,21.6,2169,1555
Bienville,LA,7.3,7.5,30.8,2003,2180
Bossier,LA,7.6,12.3,27.7,7655,3992
Caddo,LA,13.3,10,28.1,11001,8038
Calcasieu,LA,10.5,13,25.8,8229,5219
Caldwell,LA,9.4,9.1,41,1291,1244
Cameron,LA,8.4,-1111.1,14.7,1084,718
Catahoula,LA,11,-1111.1,34.7,1401,1223
Claiborne,LA,12.2,12.1,31.8,1865,2085
Concordia,LA,9.2,8.9,35.1,3051,2171
"De Soto",LA,12.5,-1111.1,33.3,1839,1477
"East Baton Rouge",LA,10.2,10,21,17566,10081
"East Carroll",LA,6.4,12.7,33.5,1587,1076
"East Feliciana",LA,10.1,7.9,23.2,2884,2120
Evangeline,LA,9.3,17.5,35.3,2571,1952
Franklin,LA,12,9.2,28.8,3239,2779
Grant,LA,7.6,13,26.4,2610,1981
Iberia,LA,10.4,11,18.9,5889,3285
Iberville,LA,8,-1111.1,16.6,2364,1596
Jackson,LA,5.4,10.2,23,2061,1987
Jefferson,LA,8.7,12.8,30.4,18691,12532
"Jefferson Davis",LA,4.9,8.7,23.4,2453,1676
Lafayette,LA,9.5,10.3,27.8,8771,4290
Lafourche,LA,11,10.6,27.4,6079,3641
"La Salle",LA,6.5,10.1,26.8,1849,1708
Lincoln,LA,8.1,7.8,25.4,2731,1663
Livingston,LA,7.7,14.1,27.9,7438,3433
Madison,LA,10.3,10,31,2387,1545
Morehouse,LA,14,12.1,26.7,2282,1871
Natchitoches,LA,11.8,12.9,21.9,2960,1919
Orleans,LA,11.7,9.4,20.2,21237,15084
Ouachita,LA,10.4,10.2,28,6754,4134
Plaquemines,LA,5.9,10.5,42.8,2023,1098
"Pointe Coupee",LA,8.4,11.5,24.5,3351,2341
Rapides,LA,14,11,23.5,5646,4134
"Red River",LA,6.4,-1111.1,21.5,1418,1154
Richland,LA,14,9.3,28.1,3256,2613
Sabine,LA,10.2,13.8,25.5,3144,2747
"St. Bernard",LA,8.1,11.5,23.7,4222,3761
"St. Charles",LA,5.9,13.4,23.8,3400,1681
"St. Helena",LA,7.9,15.9,25,1136,967
"St. James",LA,11.3,6,29,3272,1817
"St. John the Baptist",LA,9.2,9.2,20.6,3481,1557
"St. Landry",LA,10.8,13,25.8,6854,4523
"St. Martin",LA,9.7,12.7,17,3711,2019
"St. Mary",LA,10.1,10.4,39.5,4053,2474
"St. Tammany",LA,6.2,14.3,31.4,8385,4621
Tangipahoa,LA,7.4,11.9,29.7,7959,4828
Tensas,LA,6.8,-1111.1,30.1,988,876
Terrebonne,LA,9.6,10.5,26.3,5078,2491
Union,LA,9.2,9.2,33.9,3111,2710
Vermilion,LA,9.6,12.2,24.2,4049,2664
Vernon,LA,5.3,12.8,22.6,5057,1762
Washington,LA,10.1,10,35,3266,2723
Webster,LA,11.4,13.8,18.4,2708,2755
"West Baton Rouge",LA,9.5,9,27.4,3185,1683
"West Carroll",LA,6.6,8.2,26.3,1505,1523
"West Feliciana",LA,6.5,11,13.3,1227,883
Winn,LA,10.5,8.9,31.7,2136,2016
Androscoggin,ME,4.1,8.2,18.8,3862,3170
Aroostook,ME,4.9,11,14.9,3492,4242
Cumberland,ME,4.8,9.8,25.2,9013,7264
Franklin,ME,5.1,13.1,20.8,1376,1363
Hancock,ME,4.4,9.8,26.5,2489,2758
Kennebec,ME,4.6,13.1,19.7,3706,3480
Knox,ME,4.7,18.2,28.8,2330,2267
Lincoln,ME,4.2,9.5,20.9,1437,1841
Oxford,ME,5.3,14.9,22.1,2619,2978
Penobscot,ME,5.6,13.7,19.6,4643,4048
Piscataquis,ME,6.8,12.7,28,1639,2168
Sagadahoc,ME,1.5,12.6,16.7,2066,1469
Somerset,ME,4.4,14.7,24.3,2748,2578
Waldo,ME,7,13.1,21.4,2008,1692
Washington,ME,3.9,14.9,26.9,1773,2142
York,ME,5.4,10.3,16.1,6330,4840
Allegany,MD,8,9.7,13.7,3752,4598
"Anne Arundel",MD,6.7,9.2,11.6,19893,10819
Baltimore,MD,8.4,8.9,11.4,26388,23035
Calvert,MD,5.3,8.5,9.3,5060,2540
Caroline,MD,10.5,16.4,14.9,1996,1601
Carroll,MD,4.9,10.7,10,6075,3751
Cecil,MD,8,12.7,16.1,5895,3587
Charles,MD,6.7,12,13.3,5229,2444
Dorchester,MD,8.6,12.1,18,1628,2000
Frederick,MD,4.7,11.8,13.2,8664,4139
Garrett,MD,8.8,11.4,15.5,1595,1504
Harford,MD,4.6,11.5,9.4,8568,4779
Howard,MD,5.8,6.9,9.7,10701,3650
Kent,MD,11.1,13.3,19.9,2022,2319
Montgomery,MD,5.6,5.6,9,40256,15815
"Prince George's",MD,11.9,7.6,13.2,37078,16258
"Queen Anne's",MD,5.5,10.6,13.7,2354,1735
"St. Mary's",MD,7.7,11.1,15.7,6642,2950
Somerset,MD,11.3,8.3,15.6,2479,2708
Talbot,MD,6.2,12.1,16.5,1763,2030
Washington,MD,6.4,11.6,12,4990,3959
Wicomico,MD,8.8,11.3,15.7,5800,4040
Worcester,MD,6.5,11.2,14.8,2475,2746
"Baltimore City",MD,11.1,8.2,20.6,28958,24321
Barnstable,MA,5.3,8.5,12.1,6050,8317
Berkshire,MA,4.8,9.2,15.1,3737,4753
Bristol,MA,5.5,6,13.2,19985,15686
Dukes,MA,2.8,9.9,22.4,1564,1278
Essex,MA,4.9,6.4,12.9,28807,19822
Franklin,MA,2,8.9,17,3471,3266
Hampden,MA,5.8,7.9,13.7,17230,13905
Hampshire,MA,4.1,5.3,12.6,3907,3579
Middlesex,MA,4.1,6.1,12.2,56097,34724
Nantucket,MA,11.6,-1111.1,13.3,1210,681
Norfolk,MA,3.7,6,11.4,24882,17361
Plymouth,MA,4.5,7.7,13.1,19161,12350
Suffolk,MA,6.1,5.7,14.3,28649,16317
Worcester,MA,5.5,6.8,11.8,30438,20673
Alcona,MI,6.7,19.7,17,850,1735
Alger,MI,7.7,14.1,29.6,857,1072
Allegan,MI,8.5,10.8,21.4,4349,2506
Alpena,MI,6.3,17.3,25.7,1578,1740
Antrim,MI,6.9,7.6,21.3,2423,2325
Arenac,MI,7.1,13.6,13,1750,1868
Baraga,MI,4.8,13.9,26.3,928,1128
Barry,MI,5.6,13.1,29.5,3599,2334
Bay,MI,6,11.7,17.6,3865,3314
Benzie,MI,4.2,11.6,11,1800,1591
Berrien,MI,10,11.1,23.4,6301,4800
Branch,MI,8.5,8.6,21.9,2957,2047
Calhoun,MI,9.8,11.9,31.5,5720,4355
Cass,MI,5.2,14.5,17.1,2713,2374
Charlevoix,MI,7.4,12.1,20.5,3143,2305
Cheboygan,MI,6,11.7,21.6,2760,2821
Chippewa,MI,6.3,13.5,21,1920,1554
Clare,MI,11.7,19.1,19.5,1713,1886
Clinton,MI,6.9,10,17.1,3925,2348
Crawford,MI,15.2,20,28.3,1475,1451
Delta,MI,9,13.4,23.2,2105,2068
Dickinson,MI,4.3,13.6,21.5,1392,1593
Eaton,MI,5.3,9.6,16,3794,2383
Emmet,MI,6.8,6.8,23.8,1923,1476
Genesee,MI,11.4,11.3,15.7,18818,11873
Gladwin,MI,10.4,12.5,24.5,2772,2937
Gogebic,MI,8.3,15.9,16.7,1488,2617
"Grand Traverse",MI,6.1,9.3,20.4,4757,3139
Gratiot,MI,6.1,7.6,23.4,2461,2149
Hillsdale,MI,8.5,11.1,24.8,3071,2211
Houghton,MI,5.5,11.2,15.7,1985,2024
Huron,MI,5,14.3,25,1805,2311
Ingham,MI,6.6,9.2,19,11046,5650
Ionia,MI,7,14,20,4138,2239
Iosco,MI,8,20,25.1,1249,1839
Iron,MI,3.3,17.3,27.2,1035,2184
Isabella,MI,9.1,11.6,17.6,3517,2020
Jackson,MI,7.9,11.8,20.6,6099,4480
Kalamazoo,MI,10.6,10.1,26.7,9405,5814
Kalkaska,MI,7.4,12.5,25,2082,1429
Kent,MI,8.3,8.5,21.7,27754,12128
Keweenaw,MI,,-1111.1,-1111.1,202,256
Lake,MI,10.7,19.3,31.6,1138,1489
Lapeer,MI,5.8,10.9,19.1,5377,3100
Leelanau,MI,5.7,6,18.9,1969,1702
Lenawee,MI,5.6,11,13.9,6226,4410
Livingston,MI,4.8,10.1,11.1,6017,2883
Luce,MI,8.8,-1111.1,27.1,635,768
Mackinac,MI,8.8,10.6,17,1156,1361
Macomb,MI,5.7,10.1,12.2,30497,21895
Manistee,MI,7.1,22.3,26.7,2495,2942
Marquette,MI,4.6,14.1,26.7,3051,3168
Mason,MI,9,16.9,20.3,1551,1624
Mecosta,MI,6.7,5,19.8,2401,1686
Menominee,MI,4.9,14.8,16.4,2731,2857
Midland,MI,7,9.7,14.8,5124,3115
Missaukee,MI,7.8,14,19.2,1706,1294
Monroe,MI,6.9,13.4,19.6,5368,3648
Montcalm,MI,7.6,13,24.7,4195,2758
Montmorency,MI,1.2,19.4,25,924,1485
Muskegon,MI,9.1,8.6,26.9,7116,4778
Newaygo,MI,5.1,12.7,23.7,3122,2146
Oakland,MI,6.5,9.8,14.8,46556,27118
Oceana,MI,5.6,12.4,33.9,3546,2330
Ogemaw,MI,6.4,20.1,22.5,2273,2662
Ontonagon,MI,0,25,17.4,618,1158
Osceola,MI,6.9,14.3,21.7,2874,2213
Oscoda,MI,8.2,17.1,22.7,960,1082
Otsego,MI,4.4,12.2,19,2787,1909
Ottawa,MI,6.8,7.9,16.5,10667,4461
