County,State,Infant_Mortality,Suicide,Injury,Total_Births,Total_Deaths
Sunflower,MS,18.4,10,20,2558,1648
Tallahatchie,MS,12.5,13.7,39,2191,1567
Tate,MS,11.9,11.4,27.4,3701,2383
Tippah,MS,11.4,8.6,28.4,3104,2580
Tishomingo,MS,6.3,18,35.6,2282,2573
Tunica,MS,16.6,17.6,34.4,1718,1000
Union,MS,8.6,11.2,19.2,3596,2567
Walthall,MS,11,18.5,23,2223,1693
Warren,MS,8.6,15.2,27.9,3940,2628
Washington,MS,11.7,7.3,30.7,5295,3331
Wayne,MS,10.9,6,29.3,3246,2051
Webster,MS,3.9,13.8,31.5,1391,1390
Wilkinson,MS,5.9,-1111.1,27.9,1319,1302
Winston,MS,9.7,14,32,2609,2235
Yalobusha,MS,6.8,14,42.3,1802,1561
Yazoo,MS,12.8,12.7,27.7,2195,1535
Adair,MO,5.2,11.8,16.6,2852,2275
Andrew,MO,3.8,13.1,19,1757,1581
Atchison,MO,1.8,-1111.1,24.4,618,910
Audrain,MO,7.9,16.9,27,3470,3068
Barry,MO,6.2,15.9,27.1,2403,1932
Barton,MO,5.7,14.3,29.2,1758,1400
Bates,MO,7.1,13.4,20,2060,2151
Benton,MO,8.6,17.1,23.9,1519,2425
Bollinger,MO,11.4,12.5,27.7,1386,1238
Boone,MO,6.7,12.3,27.8,5399,2603
Buchanan,MO,6.8,13.3,17.1,5601,4681
Butler,MO,14.9,14.6,38,2760,2682
Caldwell,MO,9.1,11.8,29.8,1096,1069
Callaway,MO,6.1,15.6,28.3,2458,1698
Camden,MO,6.3,9.7,33.5,1905,1948
"Cape Girardeau",MO,7.1,8,24,4343,3403
Carroll,MO,5.5,20.3,27.4,1231,1433
Carter,MO,7,17.8,42.2,795,796
Cass,MO,5.4,11,26.1,5735,3603
Cedar,MO,7.3,14.1,24.1,1518,1983
Chariton,MO,4.3,-1111.1,30.7,767,1292
Christian,MO,4.1,16,17.7,4146,2134
Clark,MO,6.6,19.9,22.6,822,883
Clay,MO,5.7,12.9,24.8,8658,4285
Clinton,MO,5,14.6,22.4,2403,2113
Cole,MO,6.7,11.1,19.7,4628,3006
Cooper,MO,4.1,14,22.2,1895,1763
Crawford,MO,4.4,14.9,27.9,3049,2521
Dade,MO,6.4,15.4,23.5,877,1196
Dallas,MO,8.1,14.4,23.9,2053,1706
Daviess,MO,7.5,23.7,25.9,1172,1013
DeKalb,MO,6.2,10,18.3,1055,1198
Dent,MO,4.4,17.7,27.4,1770,1935
Douglas,MO,7.1,23.3,23.3,1413,1447
Dunklin,MO,9.6,13.6,21.6,2397,2392
Franklin,MO,5.4,16.5,30.9,6474,4364
Gasconade,MO,7.3,10.7,27.6,1660,2036
Gentry,MO,1.4,-1111.1,23.2,780,1095
Greene,MO,7.3,14.1,26.1,9313,7238
Grundy,MO,3.4,12.3,25.3,1288,1568
Harrison,MO,6.7,15,18.9,994,1294
Henry,MO,6.3,12.7,23.7,2580,2987
Hickory,MO,7.7,13.5,18.7,729,1372
Holt,MO,,-1111.1,22.2,510,751
Howard,MO,9.9,14.9,20.1,1130,1137
Howell,MO,5.7,14.8,28.9,2451,2331
Iron,MO,7.4,14.1,36.1,1349,1833
Jackson,MO,7.5,13.3,26.7,30546,18206
Jasper,MO,7.8,14.6,19.8,8497,5548
Jefferson,MO,7.6,13.1,28.2,8180,4709
Johnson,MO,5.3,10.3,15.2,3557,1677
Knox,MO,,-1111.1,28.3,514,650
Laclede,MO,7.1,10.6,15.6,2254,1724
Lafayette,MO,5.9,-1111.1,21.8,2035,1954
Lawrence,MO,10,15.9,28.1,2493,2024
Lewis,MO,2.6,17.5,17.7,1252,1245
Lincoln,MO,6.2,11.4,23,2882,1685
Linn,MO,4.6,11.5,31,1721,2021
Livingston,MO,11.9,9.8,23.7,1704,1939
McDonald,MO,10,16,29.7,3432,1988
Macon,MO,7.7,12,25.4,1871,2208
Madison,MO,7.1,12.3,32.6,1388,1620
Maries,MO,4.5,17,28.2,982,959
Marion,MO,5,-1111.1,29.3,2010,1764
Mercer,MO,13.5,29.9,-1111.1,421,498
Miller,MO,4.3,14.1,24.2,3078,2667
Mississippi,MO,9.9,17.1,19.4,2023,1820
Moniteau,MO,8.2,9.1,26.8,1887,1466
Monroe,MO,4,17.2,16.7,1102,1153
Montgomery,MO,6.9,22.7,26.8,1460,1603
Morgan,MO,10.3,17.3,20.3,2223,2507
"New Madrid",MO,9.1,16.7,36.2,2629,2556
Newton,MO,9,9.4,19.7,3567,2714
Nodaway,MO,3.1,13,14.8,2130,1991
Oregon,MO,6.8,20.2,24.9,1149,1383
Osage,MO,8.4,13.9,31.1,1690,1278
Ozark,MO,3.2,-1111.1,30,1033,1235
Pemiscot,MO,12.3,14,23.7,3651,2734
Perry,MO,5.6,12.2,21.2,2403,1927
Pettis,MO,9.3,16.1,27.5,2895,2119
Phelps,MO,7.6,11.8,20.2,2506,2097
Pike,MO,7.5,15.5,25.3,2057,1957
Platte,MO,7.2,11.1,18.5,5125,2415
Polk,MO,5.1,13.2,32.8,1775,1509
Pulaski,MO,9,-1111.1,26.2,3117,1411
Putnam,MO,1.8,-1111.1,20.9,584,774
Ralls,MO,8.7,14.6,26.6,922,917
Randolph,MO,7.4,15.1,33.5,3279,3073
Ray,MO,4.9,14.6,22.5,2946,2260
Reynolds,MO,10.9,13.8,24.7,717,758
Ripley,MO,7.1,16.2,26.4,1730,1732
"St. Charles",MO,6.7,9.5,25.2,12968,5374
"St. Clair",MO,7.2,15.3,27.9,933,1357
"Ste. Genevieve",MO,3.6,17.6,24.6,1871,1611
"St. Francois",MO,8.3,14.4,31,3594,3496
"St. Louis",MO,8.4,10.5,19.5,36724,29021
Saline,MO,9.4,11.5,21.1,2853,2879
Schuyler,MO,11.8,-1111.1,26.3,468,616
Scotland,MO,5,19,24.8,676,738
Scott,MO,12.6,9.6,25.4,2865,2102
Shannon,MO,11.8,-1111.1,27.8,948,853
Shelby,MO,1.4,-1111.1,23.3,794,1004
Stoddard,MO,9.4,13.4,26.1,1697,1877
Stone,MO,11.8,10.6,23.9,1527,1493
Sullivan,MO,6.9,-1111.1,33.7,955,989
Taney,MO,6.2,10,26.8,2755,2135
Texas,MO,9.9,13.5,27.2,2732,2694
Vernon,MO,13.2,15.1,21.9,2685,2452
Warren,MO,4.1,19.3,23.1,3204,2056
Washington,MO,6,12.1,22,3079,2238
Wayne,MO,16,15.4,32.1,1520,1781
Webster,MO,8.2,12.8,17.7,2436,1337
Worth,MO,,-1111.1,-1111.1,240,384
Wright,MO,7.9,12.1,24.5,2506,2198
"St. Louis City",MO,12.8,13.1,35.6,15755,12366
Beaverhead,MT,5.6,29.6,28.9,1003,818
"Big Horn",MT,7.7,15.7,46.2,2454,1044
Blaine,MT,7.3,29.7,31.7,1077,670
Broadwater,MT,,27,28.3,409,419
Carbon,MT,8.8,11.8,31.8,896,935
Carter,MT,,-1111.1,-1111.1,126,161
Cascade,MT,8.9,22.5,28.1,5370,3801
Chouteau,MT,,-1111.1,-1111.1,454,607
Custer,MT,7.4,27,24.3,1367,1459
Daniels,MT,,-1111.1,-1111.1,161,293
Dawson,MT,6.3,16.4,20.3,889,948
"Deer Lodge",MT,6.2,19.5,36,887,1312
Fallon,MT,,-1111.1,-1111.1,274,306
Fergus,MT,8.7,15.8,15.6,1184,1633
Flathead,MT,6,23.3,23.1,4815,3452
Gallatin,MT,6,15.8,22.5,4361,1841
Garfield,MT,,-1111.1,-1111.1,170,158
Glacier,MT,8.9,17.7,40.4,2386,1125
"Golden Valley",MT,,-1111.1,-1111.1,126,78
Granite,MT,,29.3,-1111.1,258,313
Hill,MT,7.1,17.1,24.6,2681,1498
Jefferson,MT,2.5,17.5,36.9,922,771
"Judith Basin",MT,,-1111.1,-1111.1,209,207
Lake,MT,13.4,21.4,36.3,1785,1286
"Lewis and Clark",MT,7.2,17.9,30.9,3312,2343
Liberty,MT,,-1111.1,-1111.1,203,223
Lincoln,MT,7.6,18.2,37,1910,1871
McCone,MT,,-1111.1,-1111.1,167,184
Madison,MT,7.6,28.6,33.2,590,712
Meagher,MT,,-1111.1,-1111.1,239,228
Mineral,MT,,32.9,54.6,397,366
Missoula,MT,5.4,16.7,30.9,5598,3326
Musselshell,MT,13.4,22.7,34,494,601
Park,MT,4.5,22.3,24,1744,1501
Petroleum,MT,,-1111.1,-1111.1,47,33
Phillips,MT,,17.4,34.6,487,553
Pondera,MT,10,-1111.1,26.8,779,740
"Powder River",MT,,-1111.1,-1111.1,174,218
Powell,MT,5.4,23.1,33.6,634,692
Prairie,MT,,-1111.1,-1111.1,107,168
Ravalli,MT,7.6,15.8,26,2098,1683
Richland,MT,4.3,-1111.1,15,1053,1025
Roosevelt,MT,11,18.4,60.3,2013,1051
Rosebud,MT,14,16.2,33.1,1648,755
Sanders,MT,8.5,24.4,35.9,1033,1072
Sheridan,MT,,26.3,23.4,311,614
"Silver Bow",MT,4.2,20.4,25.9,1906,2139
Stillwater,MT,2.6,-1111.1,20.4,841,711
"Sweet Grass",MT,15.2,-1111.1,17.7,363,386
Teton,MT,3.1,14.1,25,720,726
Toole,MT,,-1111.1,37.3,529,550
Treasure,MT,,-1111.1,-1111.1,62,71
Valley,MT,4.9,22.2,28,906,967
Wheatland,MT,,-1111.1,-1111.1,264,272
Wibaux,MT,,-1111.1,-1111.1,103,175
Yellowstone,MT,7.4,17.2,20.7,5282,3541
Adams,NE,6.9,7.3,17.2,2021,1517
Antelope,NE,4.3,-1111.1,22.4,789,866
Arthur,NE,,-1111.1,-1111.1,50,41
Banner,NE,,-1111.1,-1111.1,53,54
Blaine,NE,,-1111.1,-1111.1,80,56
Boone,NE,6.7,-1111.1,27.5,676,711
"Box Butte",NE,6.9,14.1,18.3,1621,1283
Boyd,NE,,-1111.1,-1111.1,239,368
Brown,NE,,-1111.1,-1111.1,398,462
Buffalo,NE,5.9,13.1,18.1,3029,1647
Burt,NE,5.6,-1111.1,27.5,776,1148
Butler,NE,3.1,10.9,14.9,1071,1053
Cass,NE,6.6,12.6,21.3,3177,2054
Cedar,NE,8.9,14.2,15.4,1146,1172
Chase,NE,,-1111.1,20.9,474,558
Cherry,NE,6,16.1,29.1,753,639
Cheyenne,NE,8.1,22.5,27.1,1217,1162
Clay,NE,8.3,-1111.1,25.9,832,856
Colfax,NE,10,10.8,22.9,1644,1064
Cuming,NE,5.1,-1111.1,19,1313,1208
Custer,NE,7.5,-1111.1,22.4,1360,1660
Dakota,NE,7.5,16,18.9,3712,1638
Dawes,NE,5.5,17.4,20.3,1017,908
Dawson,NE,10.5,11.2,31.6,4187,2357
Deuel,NE,,-1111.1,-1111.1,184,312
Dixon,NE,1.4,-1111.1,16.1,804,681
Dodge,NE,5.5,7.9,20.5,2356,2070
Douglas,NE,7.4,10.9,19,23667,10979
Dundy,NE,,-1111.1,24.4,235,338
Fillmore,NE,6,-1111.1,18.7,736,970
Franklin,NE,,-1111.1,21.2,348,592
Frontier,NE,,-1111.1,-1111.1,302,306
Furnas,NE,7.8,-1111.1,32.4,578,941
Gage,NE,8,21.7,23,2617,2918
Garden,NE,,-1111.1,-1111.1,164,405
Garfield,NE,,-1111.1,27.2,196,346
Gosper,NE,,-1111.1,-1111.1,242,276
Grant,NE,,-1111.1,-1111.1,80,57
Greeley,NE,,-1111.1,-1111.1,337,366
Hall,NE,7.5,8.6,24.8,4512,2507
Hamilton,NE,8.6,-1111.1,15.9,1156,973
Harlan,NE,,-1111.1,31.9,344,498
Hayes,NE,,-1111.1,-1111.1,78,89
Hitchcock,NE,,-1111.1,38.8,308,453
Holt,NE,6,12.4,16.6,1316,1317
Hooker,NE,,-1111.1,-1111.1,79,138
Howard,NE,4.4,-1111.1,24.3,760,683
Jefferson,NE,8,-1111.1,25.9,849,1163
Johnson,NE,,-1111.1,30.1,459,603
Kearney,NE,8.5,-1111.1,17.5,782,753
Keith,NE,11.9,23.5,24.6,934,981
"Keya Paha",NE,,-1111.1,-1111.1,117,99
Kimball,NE,,-1111.1,-1111.1,389,513
Knox,NE,3.1,-1111.1,18.2,1068,1364
Lancaster,NE,6.4,11.8,21.4,11573,5142
Lincoln,NE,5.5,13.8,21.2,2345,1708
Logan,NE,,-1111.1,-1111.1,95,93
Loup,NE,,-1111.1,-1111.1,69,66
McPherson,NE,,-1111.1,-1111.1,48,30
Madison,NE,6.1,11.4,17,2772,1705
Merrick,NE,6.8,-1111.1,17.6,1006,948
Morrill,NE,5.1,-1111.1,38.7,661,691
Nance,NE,,-1111.1,21.1,449,552
Nemaha,NE,6.1,16.4,25.5,733,991
Nuckolls,NE,,-1111.1,18.2,503,787
Otoe,NE,8,9.6,21.9,1814,1906
Pawnee,NE,,-1111.1,39.7,253,560
Perkins,NE,,-1111.1,26.4,303,406
Phelps,NE,3.7,-1111.1,20.1,1198,1175
Pierce,NE,7.3,-1111.1,24.9,909,905
Platte,NE,7.8,8.6,16.7,2190,1293
Polk,NE,3.4,-1111.1,14.8,657,738
"Red Willow",NE,5.4,18.9,22.7,1413,1267
Richardson,NE,6.1,-1111.1,22.5,939,1527
Rock,NE,,-1111.1,-1111.1,155,217
Saline,NE,5.6,10.5,18.4,1591,1702
Sarpy,NE,5.4,10.9,22.3,6875,1877
Saunders,NE,5.1,8.4,19.4,2403,1814
"Scotts Bluff",NE,6.8,13.8,22.8,2639,2163
Seward,NE,3.7,10,19.4,1777,1624
Sheridan,NE,9.5,-1111.1,20.2,713,875
Sherman,NE,,-1111.1,23.4,358,467
Sioux,NE,,-1111.1,-1111.1,103,81
Stanton,NE,0,-1111.1,-1111.1,836,501
Thayer,NE,5.9,-1111.1,22.9,569,996
Thomas,NE,,-1111.1,-1111.1,69,71
Thurston,NE,12.3,14.8,38.3,1542,796
Valley,NE,,-1111.1,22.1,477,663
Washington,NE,7.3,9.9,15.2,2120,1591
Wayne,NE,6.5,-1111.1,20.5,1043,692
Webster,NE,,-1111.1,12.1,394,675
Wheeler,NE,,-1111.1,-1111.1,117,86
York,NE,7.1,8.2,18.1,1733,1520
Churchill,NV,7.5,21.7,19.4,3572,1995
Clark,NV,6.2,18.6,24.5,71518,34516
Douglas,NV,3.7,20.4,23.1,1890,1550
Elko,NV,5.1,21.4,23.5,3339,1167
Esmeralda,NV,,-1111.1,-1111.1,84,113
Eureka,NV,,-1111.1,-1111.1,182,124
Humboldt,NV,9.8,27.6,25.4,2720,985
Lander,NV,4.3,42.6,41.1,1050,381
Lincoln,NV,11.4,29.4,31.7,490,443
Lyon,NV,2.3,24.5,23.3,2183,1773
Mineral,NV,11.3,30.7,-1111.1,614,729
Nye,NV,5.7,32.4,27,1583,2077
Pershing,NV,3.2,25.2,24.9,682,372
Storey,NV,,30.9,-1111.1,113,182
Washoe,NV,4.9,20.6,20,15843,8436
"White Pine",NV,5.4,35,28,1034,910
"Carson City",NV,5.2,25.9,18.9,3654,3042
Belknap,NH,6.7,11.8,18.2,2815,2809
Carroll,NH,5.5,16.9,24.7,1993,2170
Cheshire,NH,3.3,11.1,17.3,3691,3339
Coos,NH,5.8,18.5,29.8,1545,2099
Grafton,NH,5.5,11.3,21.6,4031,3358
Hillsborough,NH,4.1,10.9,18,14975,8197
Merrimack,NH,5.8,13,20.7,4642,3488
Rockingham,NH,3.8,9.5,14.3,9909,5634
Strafford,NH,4.3,12.5,20.8,4164,2529
Sullivan,NH,9.7,15.7,23.4,2272,2029
Atlantic,NJ,9.6,8.5,26.9,10477,8217
Bergen,NJ,4.4,6.2,14.3,31845,22741
Burlington,NJ,5.4,7.9,19.5,16166,11194
Camden,NJ,9.9,9.9,24.8,20851,14310
"Cape May",NJ,8.9,7.2,18,5145,6669
Cumberland,NJ,11.3,6.1,26.4,6364,4589
Essex,NJ,8.6,5.5,25.8,36577,21091
Gloucester,NJ,6.5,9,24.5,9605,7044
Hudson,NJ,7.4,4.8,19.6,26507,13726
Hunterdon,NJ,3.4,8.8,17.6,4382,2450
Mercer,NJ,6.5,4.5,17.3,13786,8780
Middlesex,NJ,4.8,6.1,15.1,31989,16653
Monmouth,NJ,2.9,7.5,17.2,24309,16241
Morris,NJ,3.6,5.7,16,19104,10489
Ocean,NJ,3.6,7.2,16.8,21448,21057
Passaic,NJ,6,6.6,21.2,23317,12091
Salem,NJ,7.2,8.8,21.1,3888,3541
Somerset,NJ,2.8,5.3,17,13356,6253
Sussex,NJ,4.4,7.3,19.2,5204,3038
Union,NJ,6.1,5.4,17.2,22768,13636
Warren,NJ,5,8.3,20.4,6827,4430
Bernalillo,NM,6.1,19.3,45,25810,13285
Catron,NM,,-1111.1,-1111.1,254,278
Chaves,NM,7.2,22.6,37.4,4608,3152
Cibola,NM,7.6,19.8,33.8,2115,1027
Colfax,NM,2.8,24.7,27.6,1620,1390
Curry,NM,7.6,14.1,26,4078,1891
"De Baca",NM,,-1111.1,-1111.1,211,310
"Dona Ana",NM,5.3,13,23,9302,3526
Eddy,NM,8,17.4,40.3,3757,2822
Grant,NM,6.6,24.7,34.3,1969,1557
Guadalupe,NM,5.8,-1111.1,43.1,563,418
Harding,NM,,-1111.1,-1111.1,51,96
Hidalgo,NM,5.4,-1111.1,33.2,856,494
Lea,NM,5.7,15.5,24.5,4570,2477
Lincoln,NM,6.1,33.3,28.6,1986,1539
"Los Alamos",NM,4.7,13.5,27.3,1913,983
Luna,NM,7.7,25.6,22.4,4041,2471
McKinley,NM,9.7,19.8,46.7,6890,2304
Mora,NM,,33.1,38.7,507,436
Otero,NM,6.5,21.4,24.1,4297,2316
Quay,NM,8.5,21.1,41,1177,1302
"Rio Arriba",NM,6.5,28.1,73.8,3380,1675
Roosevelt,NM,5.9,10.5,25.2,3089,1380
Sandoval,NM,5.9,14.5,27.6,6432,2932
"San Juan",NM,5.9,17.6,33.8,5921,2355
"San Miguel",NM,3.2,27.1,38.3,1883,1285
"Santa Fe",NM,5.2,19,40.1,4800,2488
Sierra,NM,9,39.1,37.5,1140,2187
Socorro,NM,2.7,23.1,42.4,2469,1301
Taos,NM,5.4,13.5,44.3,1836,1141
Torrance,NM,7.7,21.2,35.8,2004,1053
Union,NM,,-1111.1,27.8,490,507
Valencia,NM,6.9,15.6,39.8,4921,2351
Albany,NY,8.3,6.9,13.6,9668,8491
Allegany,NY,7,12.6,18.3,2721,2453
Bronx,NY,6.8,5.8,21.1,68201,30886
Broome,NY,7.8,7.7,14.9,6302,6333
Cattaraugus,NY,6.7,10.2,15.6,4949,4219
Cayuga,NY,6.4,6.2,15.5,4407,3686
Chautauqua,NY,9,8.4,14.6,4544,4522
Chemung,NY,6.4,8.2,17.1,5433,4754
Chenango,NY,7.9,6.8,18.1,2770,2680
Clinton,NY,6.1,11.8,16.8,3954,3272
Columbia,NY,7.5,8.5,15.4,3077,3463
Cortland,NY,5.4,4.7,17.1,2775,2175
Delaware,NY,7.3,10.1,16.5,2202,2765
Dutchess,NY,5.8,4.8,14.6,9744,6753
Erie,NY,8.3,6.6,12.7,32027,30099
Essex,NY,7.9,14,20.5,1781,2048
Franklin,NY,6.1,13.9,17.2,2295,2213
Fulton,NY,5.8,7.9,15.8,3124,2906
Genesee,NY,3.5,6.7,16.5,3399,2922
Greene,NY,5.4,10.1,20.7,2219,2668
Hamilton,NY,,-1111.1,31.4,431,639
Herkimer,NY,6.5,12.3,15.7,3378,3670
Jefferson,NY,7.8,10.7,20.8,4992,2620
Kings,NY,6.5,4.6,17.7,119171,54937
Lewis,NY,8.6,9.5,16.4,1635,1141
Livingston,NY,5.5,8,20.8,3297,2519
Madison,NY,6.9,10.5,15.4,3758,2896
Monroe,NY,6.2,6.2,12.1,26811,18882
Montgomery,NY,6.1,10.1,13.4,2959,3192
Nassau,NY,4.7,4.8,11,48734,33965
"New York",NY,4.9,8.2,20,60627,34423
Niagara,NY,7.5,7.4,12.3,7299,7088
Oneida,NY,8.1,8.8,17.2,7618,7858
Onondaga,NY,10,6.3,20,17024,12202
Ontario,NY,5.8,9.1,17.3,5654,4508
Orange,NY,5.4,6.3,15.5,15319,7645
Orleans,NY,4,8.2,10.7,2471,1973
Oswego,NY,7.4,9.4,15.7,4172,3129
Otsego,NY,4.3,9.4,17.8,2785,3011
Putnam,NY,2.4,6.4,12.7,5874,2964
Queens,NY,5.2,4.7,14.1,92216,47876
Rensselaer,NY,7.6,7.4,13.5,5155,4396
Richmond,NY,5,6,14.9,17514,11023
Rockland,NY,4.1,4.6,9.4,14043,6399
"St. Lawrence",NY,6.6,8.6,24.5,3657,3199
Saratoga,NY,4.5,7.2,11.3,7389,4436
Schenectady,NY,6.8,8.4,16.2,5318,4736
Schoharie,NY,4.6,8.8,15.9,1510,1498
Schuyler,NY,9,11.6,22.8,2130,1895
Seneca,NY,6,-1111.1,16.1,1829,1634
Steuben,NY,6.9,10.6,19.8,5832,5147
Suffolk,NY,5.2,5.2,14.8,59799,34425
Sullivan,NY,9.4,12.5,15.6,4244,3804
Tioga,NY,7.3,7.9,10.7,3003,2090
Tompkins,NY,6.3,11,17.1,4427,2987
Ulster,NY,4.6,7.7,15.8,5439,4809
Warren,NY,6.1,8.9,16,3257,3003
Washington,NY,6,12.9,22.3,3165,3017
Wayne,NY,6.1,8.9,12.9,5766,4007
Westchester,NY,4.5,4.8,13.4,38104,22249
Wyoming,NY,7.9,9.8,14.2,2146,1850
Yates,NY,8.2,5.9,23.5,3129,2596
Alamance,NC,9.5,7.1,28.2,5555,3961
Alexander,NC,5.1,18.4,18.5,2143,1418
Alleghany,NC,4.4,16.8,23.4,981,1355
Anson,NC,15,12.9,28.8,3368,2820
Ashe,NC,12.3,17.9,26.3,2517,2859
Avery,NC,6.5,20.1,31.3,1757,1833
Beaufort,NC,12.5,14,24.4,3122,2697
Bertie,NC,11.9,6.5,29,2638,2623
Bladen,NC,10,17.6,35.2,2302,1966
Brunswick,NC,6.6,14.1,27.7,4269,3677
Buncombe,NC,7.7,12.7,28.8,7559,6641
Burke,NC,7.7,17.7,28.4,5352,4141
Cabarrus,NC,7.8,10.6,28.2,6703,3516
Caldwell,NC,8.8,12.1,23.6,4895,3854
Camden,NC,8.9,14.6,-1111.1,639,650
Carteret,NC,9,19.1,30.6,2994,3454
Caswell,NC,14.3,12.5,27.2,2484,2409
Catawba,NC,7.6,15.8,31.8,6171,3936
Chatham,NC,5.6,7,23.2,3365,2431
Cherokee,NC,8.1,15.1,37.7,2594,2918
Chowan,NC,9.1,-1111.1,23,1986,1785
Clay,NC,7.6,19.9,18.9,726,1050
Cleveland,NC,10.8,14.4,28.2,6287,5006
Columbus,NC,11.5,10.9,29.6,3987,3186
Craven,NC,7.2,10.8,27.4,7896,4208
Cumberland,NC,10.9,13.9,19,16032,6135
Currituck,NC,11.1,17.2,21,1991,1612
Dare,NC,8.8,12.8,36.5,1811,1276
Davidson,NC,8.1,11.5,25.4,5771,4246
Davie,NC,12.3,6.9,18.5,2196,1714
Duplin,NC,8.7,8.8,28.7,3912,2574
Durham,NC,6.2,11.4,22.7,11701,5048
Edgecombe,NC,11.4,8.5,21.9,3936,3083
Forsyth,NC,8.4,10.2,25.1,13793,8288
Franklin,NC,7.1,13.9,17.2,3223,2151
Gaston,NC,8.5,17.4,33,7654,5865
Gates,NC,8.2,-1111.1,26.3,1100,1177
Graham,NC,3.4,14.5,22.3,976,986
Granville,NC,8,6.6,20.6,2997,2203
Greene,NC,11.5,11.2,24.9,2353,1670
Guilford,NC,8.7,10.1,25.5,17640,10440
Halifax,NC,9,12.3,17.9,3790,3310
Harnett,NC,7.9,10.7,23.1,7184,3664
Haywood,NC,6,22.1,29.3,2827,3269
Henderson,NC,5.9,11.8,27.2,5403,5521
Hertford,NC,17.5,7,28.5,2896,2813
Hoke,NC,9.2,5.8,15.7,3380,1211
Hyde,NC,15.9,16.5,-1111.1,558,677
Iredell,NC,8.5,10.7,23,5876,3387
Jackson,NC,8.3,11.7,32.9,1808,1557
Johnston,NC,7.7,13.3,20.6,6353,2956
Jones,NC,10.3,12.4,24.1,994,1171
Lee,NC,6.9,9.5,26.5,4177,2378
Lenoir,NC,13.4,15.3,32,4043,3586
Lincoln,NC,7.3,14.1,22.2,4405,2810
McDowell,NC,8.9,13.1,18.2,2135,1811
Macon,NC,9,15.6,31.1,1552,1904
Madison,NC,5.6,15.5,23.9,2180,2097
Martin,NC,9.9,13.6,25.8,2123,1954
Mecklenburg,NC,7.6,10.4,18.5,36551,13844
Mitchell,NC,9,14.9,36,1607,1975
Montgomery,NC,6.7,13.8,26.9,3933,2509
Moore,NC,8.4,9.9,19.5,4523,4355
Nash,NC,9.6,10.2,21.8,6138,4409
"New Hanover",NC,5.4,11.9,24.5,6151,4339
Northampton,NC,17.6,9.7,29.4,2544,2785
Onslow,NC,9.5,9.9,22.6,9418,2329
Orange,NC,9.6,10.1,25.6,4052,2102
Pamlico,NC,5.1,7.1,30.9,1101,1438
Pasquotank,NC,7.7,6,21.6,2324,1851
Pender,NC,5.5,10.9,21.6,2365,1870
Perquimans,NC,14.4,17.4,20,1154,1409
Person,NC,10,18,23.2,2291,1876
Pitt,NC,12.4,13.9,22.6,5976,3166
Polk,NC,11,18.8,19.9,1700,2547
Randolph,NC,9,12.1,21.5,5448,3421
Richmond,NC,9.3,15.7,23.9,3243,2670
Robeson,NC,10,9.7,26.6,6129,3619
Rockingham,NC,8.7,17.6,30.2,5780,5187
Rowan,NC,8.6,15.9,28,5025,3986
Rutherford,NC,11.4,18.3,33,4038,3749
Sampson,NC,9.4,11.5,27.9,4567,3141
Scotland,NC,12.5,11,13,2487,1764
Stanly,NC,9.7,11.1,23.9,3699,3013
Stokes,NC,5.9,15.2,27.6,2538,2085
Surry,NC,7.5,16.5,22.7,4693,3870
Swain,NC,6.6,13.1,35,1700,1536
Transylvania,NC,8.7,12.8,32.2,1377,1809
Tyrrell,NC,13.2,-1111.1,-1111.1,407,455
Union,NC,6,10.3,18.8,7030,2689
Vance,NC,13.6,9.1,30.1,3541,2388
Wake,NC,5.8,9.3,19,32741,10269
Warren,NC,12.2,10.5,20.4,2033,2248
Washington,NC,13.1,13.9,18.6,1725,1596
Watauga,NC,5.8,15.9,23.4,1725,1478
Wayne,NC,9.2,9.3,20.4,5106,3116
Wilkes,NC,6.9,13.2,34.8,4347,3323
Wilson,NC,11.4,13.1,23.2,5356,3739
Yadkin,NC,6.2,15.8,25.3,2402,1867
Yancey,NC,3.7,9.5,30.7,1815,1760
Adams,ND,,-1111.1,21.8,205,405
Barnes,ND,12.1,18,19.1,1189,1514
Benson,ND,6.1,29.3,31.1,1256,684
Billings,ND,,-1111.1,-1111.1,80,48
Bottineau,ND,10.1,-1111.1,13.8,557,1001
Bowman,ND,,-1111.1,29.6,296,461
Burke,ND,,-1111.1,-1111.1,169,284
Burleigh,ND,7.6,11.2,17.1,4331,2633
Cass,ND,4.4,9.7,18.7,5283,2405
Cavalier,ND,,22,21.8,404,686
Dickey,ND,3.5,-1111.1,25.2,635,807
Divide,ND,,-1111.1,30.6,139,450
Dunn,ND,,-1111.1,25.5,337,408
Eddy,ND,,-1111.1,-1111.1,260,462
Emmons,ND,,-1111.1,24.1,422,564
Foster,ND,,-1111.1,24.5,392,598
"Golden Valley",ND,,-1111.1,-1111.1,188,182
"Grand Forks",ND,5,10.8,14.6,4232,2168
Grant,ND,,-1111.1,30.4,222,409
Griggs,ND,,-1111.1,-1111.1,223,467
Hettinger,ND,,-1111.1,34.3,218,408
Kidder,ND,,-1111.1,-1111.1,244,369
LaMoure,ND,,-1111.1,-1111.1,418,580
Logan,ND,,-1111.1,44.7,223,319
McHenry,ND,7.9,15.4,17.9,560,708
McIntosh,ND,,-1111.1,24.1,289,689
McKenzie,ND,23.7,25.6,41.2,662,602
McLean,ND,5.5,12.4,21.8,811,1217
Mercer,ND,5.6,13.1,23.3,809,769
