County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Banner,NE,41,733,1,8.1,99.6,0.1,0.1,0,6
Blaine,NE,37,484,1,15,99.4,0,0.6,0,0.2
Boone,NE,62,5772,8,10,99.8,0.1,0,0.1,1.3
"Box Butte",NE,51,11374,11,11.4,94.5,0.5,3.2,0.6,9.1
Boyd,NE,58,2261,4,11.6,99.2,0,0.6,0.2,0.1
Brown,NE,52,3328,3,11.4,99,0,0.2,0.4,1
Buffalo,NE,39,43572,45,10.4,97.6,0.7,0.4,0.6,5.2
Burt,NE,62,7455,15,9.9,98,0.3,1.1,0.2,1.4
Butler,NE,39,8720,15,9.1,99.2,0.1,0.2,0.2,2.3
Cass,NE,35,25734,46,6.4,97.9,0.5,0.2,0.5,1.8
Cedar,NE,39,9066,12,8.4,99.3,0.1,0.2,0,0.6
Chase,NE,37,3866,4,10.1,99.4,0.2,0.1,0.2,4.3
Cherry,NE,25,6098,1,12.4,93.4,0.1,4.3,0.7,1
Cheyenne,NE,39,9993,8,9.5,97.6,0.2,0.8,1.1,4.6
Clay,NE,39,6733,12,10.4,98.8,0.3,0.4,0.3,4.2
Colfax,NE,42,10433,25,9.5,98.2,0.1,0.4,1,31.6
Cuming,NE,39,9688,17,8.8,99,0.2,0.5,0.2,7.9
Custer,NE,37,11410,4,12.3,98.8,0.2,0.6,0.2,1.3
Dakota,NE,35,20349,77,10.8,91.5,1.5,2.4,3.3,28.8
Dawes,NE,52,8636,6,16,93.5,1.2,3.9,0.3,2.6
Dawson,NE,42,24617,24,10.6,97.1,1,0.7,0.7,29.8
Deuel,NE,33,2004,5,10,98.7,0,0.5,0.5,2.8
Dixon,NE,39,6155,13,8.9,98.9,0,0.6,0.4,7.5
Dodge,NE,40,36078,68,9.6,97.7,0.7,0.4,0.7,6.5
Douglas,NE,36,486929,1471,10.8,83.8,11.7,0.6,2.2,8.6
Dundy,NE,33,2133,2,11.4,98.2,0,0.8,0.7,3.6
Fillmore,NE,38,6385,11,9.5,98.9,0.3,0.7,0.1,2.5
Franklin,NE,48,3421,6,11.6,99.3,0,0.4,0.1,0.7
Frontier,NE,37,2795,3,10.6,98.9,0.1,0.3,0.3,1.2
Furnas,NE,48,5019,7,11.1,98.8,0.1,0.4,0.3,1.3
Gage,NE,47,23306,27,9.7,98,0.4,0.4,0.5,1.3
Garden,NE,33,1997,1,12.7,99.3,0.1,0.2,0.3,1.8
Garfield,NE,52,1816,3,11.5,99.3,0,0.2,0.1,1.2
Gosper,NE,33,2020,4,8,99.4,0,0.1,0.4,1.3
Grant,NE,33,670,1,9.3,99.7,0,0.1,0.1,1.5
Greeley,NE,37,2512,4,12.4,99,0.7,0,0.1,1.1
Hall,NE,38,55104,101,12.1,96.4,1.2,0.4,1.3,18.2
Hamilton,NE,39,9568,18,8.2,99.2,0.2,0.1,0.2,1.3
Harlan,NE,48,3462,6,9.9,99.6,0.1,0,0.1,0.9
Hayes,NE,33,1027,1,9,99.2,0.2,0,0.3,3
Hitchcock,NE,37,2970,4,13.1,99.1,0.1,0.3,0.2,1.7
Holt,NE,37,10784,4,12.2,99.2,0.1,0.3,0.3,1.3
Hooker,NE,52,744,1,9,99.2,0,0.3,0.1,1.1
Howard,NE,39,6708,12,10.7,98.8,0.5,0.2,0.4,1.4
Jefferson,NE,32,7925,14,9.5,98.5,0.1,0.7,0.4,1.4
Johnson,NE,38,4695,12,9,95.8,0.4,0.4,3.1,5.6
Kearney,NE,39,6774,13,7.9,99.1,0.3,0.2,0.2,2.5
Keith,NE,39,8330,8,10.5,98.4,0.2,0.9,0.3,4.1
"Keya Paha",NE,52,902,1,13.1,99.8,0,0.2,0,4.7
Kimball,NE,33,3782,4,11.9,98.7,0.3,0.6,0.1,4.2
Knox,NE,32,8916,8,13.7,91.6,0.1,8,0.3,1.3
Lancaster,NE,44,264814,316,9.5,91.6,3,0.7,3.2,4.1
Lincoln,NE,22,35636,14,10.9,97.2,0.9,0.7,0.4,5.4
Logan,NE,33,740,1,10,98.8,0.1,1.1,0,0.9
Loup,NE,33,686,1,11.1,99.4,0,0.3,0.1,1.9
McPherson,NE,23,507,1,12.1,99.6,0,0,0.4,1.6
Madison,NE,34,35488,62,11.2,95.3,1.9,1.4,0.7,12.2
Merrick,NE,39,8066,17,9.9,99.2,0.3,0.2,0.2,2.3
Morrill,NE,25,5165,4,13.7,98.6,0.1,0.8,0.4,10.1
Nance,NE,62,3666,8,11.6,99.4,0,0.4,0,1.4
Nemaha,NE,38,6965,17,11.1,98.1,0.5,0.4,0.7,1.4
Nuckolls,NE,48,4739,8,11.1,99.5,0.1,0,0.3,1.5
Otoe,NE,38,15509,25,8.4,98.4,0.4,0.3,0.3,3.2
Pawnee,NE,48,2878,7,10.8,99.3,0,0.2,0.2,0.9
Perkins,NE,33,3057,3,10.1,99,0.1,0.3,0.3,2.7
Phelps,NE,39,9449,17,9.6,98.8,0.2,0.3,0.3,2.8
Pierce,NE,39,7600,13,9.9,99.2,0.1,0.4,0.2,0.8
Platte,NE,34,31262,46,8.6,97.9,0.5,0.3,0.5,9.5
Polk,NE,39,5421,12,7.4,99.4,0.1,0.3,0,2.3
"Red Willow",NE,62,11060,15,10.7,98.5,0.3,0.5,0.2,3
Richardson,NE,32,8732,16,11.5,95.8,0.3,2.3,0.3,1.2
Rock,NE,25,1567,2,14.7,99,0,0.6,0.3,0.6
Saline,NE,38,14195,25,8.3,96.4,1,0.4,1.6,15.2
Sarpy,NE,57,139371,579,5.5,91.5,4,0.4,2.2,5.2
Saunders,NE,42,20458,27,7.5,98.9,0.2,0.3,0.3,1.5
"Scotts Bluff",NE,22,36752,50,14.4,95.8,0.5,2.2,0.7,18.5
Seward,NE,47,16739,29,7.3,98,0.4,0.2,0.6,1.4
Sheridan,NE,25,5668,2,13.3,87.6,0.1,10.3,0.2,1.4
Sherman,NE,37,3112,5,11.5,99.4,0.1,0.1,0.3,1
Sioux,NE,58,1458,1,9.7,99.6,0,0.1,0.2,2.5
Stanton,NE,35,6534,15,7.8,98.5,0.4,0.5,0.2,2.8
Thayer,NE,48,5436,9,10.3,99.4,0,0.3,0.1,1.2
Thomas,NE,29,623,1,11.8,99.5,0,0.5,0,1.1
Thurston,NE,37,7365,19,20.3,44.8,0.6,53.4,0.1,3.3
Valley,NE,48,4402,8,11.8,98.9,0.2,0.4,0.2,1.7
Washington,NE,35,19772,51,6.1,98.5,0.5,0.2,0.5,1.1
Wayne,NE,30,9211,21,11.3,97.8,0.9,0.4,0.5,3.2
Webster,NE,48,3762,7,9.6,98.6,0.2,0.2,0.7,0.7
Wheeler,NE,33,820,1,12.3,99.8,0,0.2,0,0.6
York,NE,42,14397,25,9,96.7,1.5,0.4,0.8,2.5
Churchill,NV,43,24556,5,10.4,88,1.6,5,3.2,9.8
Clark,NV,34,1710551,216,11.4,78.9,10.1,1,7.3,25.6
Douglas,NV,34,47017,66,7.2,94.5,0.7,1.5,1.8,8.1
Elko,NV,15,45570,3,9.8,91.4,0.9,5.6,1,21.6
Esmeralda,NV,41,787,0,11.8,93.1,0.1,5.7,0.3,11.7
Eureka,NV,43,1428,0,10.6,95.8,0.4,1,1.3,12.7
Humboldt,NV,43,17129,2,10.4,92.3,0.6,5,0.8,20
Lander,NV,43,5114,1,10.5,93.9,0.5,4.7,0.4,16.9
Lincoln,NV,37,4391,0,13.5,95.3,2,1.9,0.4,5.8
Lyon,NV,22,47515,24,9.7,92.8,1.2,2.4,1.3,12.4
Mineral,NV,41,4910,1,14.6,77.4,4.5,16.3,1.1,9.8
Nye,NV,15,40477,2,12.4,93.1,1.7,1.8,1.5,10.9
Pershing,NV,41,6360,1,13.3,89.5,5.8,3,1,19.9
Storey,NV,30,4074,15,5.2,95.5,0.3,1.3,1.9,6.9
Washoe,NV,24,389872,61,10,87.8,2.4,2,5.5,19.7
"White Pine",NV,41,8994,1,13.2,90.2,4.5,3.5,1.1,11.4
"Carson City",NV,40,56062,391,10.3,92,2.2,2.1,2.4,18.4
Belknap,NH,32,61547,153,7.3,97.6,0.5,0.3,0.8,0.8
Carroll,NH,40,47439,51,7.3,98.3,0.3,0.2,0.5,0.8
Cheshire,NH,32,77287,109,7.2,97.7,0.6,0.3,0.7,1
Coos,NH,57,33655,19,9.7,98.2,0.3,0.3,0.4,0.9
Grafton,NH,32,84708,49,7.2,95.9,0.7,0.3,2,1.3
Hillsborough,NH,24,401291,458,6.3,94,1.7,0.2,2.9,4.1
Merrimack,NH,44,146881,157,6.3,96.8,0.7,0.3,1.2,1.3
Rockingham,NH,24,295076,425,4.5,96.8,0.8,0.2,1.5,1.7
Strafford,NH,44,119015,323,8.5,96,0.9,0.3,1.8,1.3
Sullivan,NH,40,43041,80,7.6,98.3,0.3,0.2,0.5,0.9
Atlantic,NJ,27,271015,483,10.8,74,17.9,0.3,6.4,13.7
Bergen,NJ,32,902561,3854,6.1,79.2,5.9,0.2,13.6,13.1
Burlington,NJ,36,450743,560,5.8,77.6,16.6,0.2,3.7,4.8
Camden,NJ,39,518249,2331,10.9,73.4,20.3,0.3,4.6,11.1
"Cape May",NJ,20,99286,389,9.6,93.3,5,0.2,0.8,3.9
Cumberland,NJ,53,153252,313,14.9,74.3,21.7,1,1.4,21.7
Essex,NJ,39,791057,6265,14.4,51.4,42.6,0.3,4.4,17.2
Gloucester,NJ,57,276910,853,6.7,86.9,9.9,0.2,2,3.1
Hudson,NJ,39,603521,12926,15,71.1,15.1,0.6,11.1,40.1
Hunterdon,NJ,44,130404,303,3.5,93.4,2.8,0.2,3,3.6
Mercer,NJ,24,366256,1621,8.1,70,20.6,0.2,7.8,11.6
Middlesex,NJ,32,789516,2549,7.4,69.5,10.4,0.3,18.3,15.9
Monmouth,NJ,32,635952,1348,6.5,85.8,8.1,0.2,4.9,7.5
Morris,NJ,24,490593,1046,4.2,87.7,3.1,0.2,8,9.6
Ocean,NJ,36,558341,878,8.1,94,3.4,0.2,1.6,6.2
Passaic,NJ,25,499060,2693,12.6,78.1,15.3,0.7,4.6,33.3
Salem,NJ,20,66346,196,9.3,82.7,15.1,0.4,0.8,4.7
Somerset,NJ,24,319900,1050,4.7,78.3,8.8,0.2,11.7,11
Sussex,NJ,57,153130,294,4.8,95.7,1.6,0.1,1.7,5.1
Union,NJ,36,531457,5145,9.9,71.4,22.6,0.4,4.5,23.4
Warren,NJ,26,110376,308,6.1,93.9,3,0.1,2.2,5.5
Bernalillo,NM,39,603562,518,14.8,87.6,3.3,4.9,2.3,43.5
Catron,NM,32,3409,0,18.9,95.4,0.5,2.6,0.8,19.3
Chaves,NM,54,61860,10,21.3,94.2,2.6,1.3,0.9,46.5
Cibola,NM,15,27620,6,21.3,55.7,1.5,41.5,0.5,33.2
Colfax,NM,25,13755,4,15.6,96.5,0.5,1.9,0.4,46.7
Curry,NM,33,45846,33,18.7,86,7.4,1.5,2.6,33.3
"De Baca",NM,32,2016,1,17.8,98.3,0.2,1.1,0.2,34.9
"Dona Ana",NM,33,189444,50,24.5,93.6,2.4,1.6,1.1,64.2
Eddy,NM,54,51437,12,17.5,95,1.9,1.5,0.8,40.8
Grant,NM,33,29747,8,19.6,95.9,1.1,1.5,0.6,47.8
Guadalupe,NM,38,4369,1,20.9,96.2,1.5,1.3,1,79.2
Harding,NM,25,740,0,13.1,97.7,0.4,1.8,0,43
Hidalgo,NM,38,5139,1,23.6,97.7,0.6,0.9,0.7,55.8
Lea,NM,54,56719,13,18.6,92.1,5.1,1.2,0.6,44.2
Lincoln,NM,32,21007,4,15.2,95.4,1.2,2.3,0.4,27.5
"Los Alamos",NM,30,18822,172,3,92,0.6,0.8,4.9,13.2
Luna,NM,30,26498,9,26.2,95.8,1.8,1.2,0.5,59.3
McKinley,NM,54,71918,13,30.6,20.6,0.6,76.8,0.6,11.3
Mora,NM,23,5107,3,21.2,98,0.4,1.4,0.2,78.7
Otero,NM,37,63538,10,16.5,86,4.3,6.2,1.6,33.4
Quay,NM,23,9259,3,21.2,95.5,1.1,1.6,1.6,38.1
"Rio Arriba",NM,15,40828,7,17.9,82.8,0.7,15.5,0.5,71.5
Roosevelt,NM,37,18238,7,21.5,94.9,2.3,1.4,0.8,35.3
Sandoval,NM,32,107460,29,12,79.4,2.2,15.5,1.3,31.2
"San Juan",NM,33,126208,23,18.4,56.1,0.8,40.9,0.5,15.9
"San Miguel",NM,15,29530,6,21.7,94.9,1.2,2.2,0.9,77
"Santa Fe",NM,40,140855,74,12.3,92.8,1.1,3.5,1.2,49
Sierra,NM,32,12815,3,21.2,96.7,0.5,1.9,0.3,28.7
Socorro,NM,38,18148,3,25.1,83.7,1.1,12.4,1.8,46.6
Taos,NM,33,31722,14,19.4,90.7,0.7,7.1,0.7,55
Torrance,NM,38,17501,5,21.5,92.7,3,2.5,0.5,38.1
Union,NM,23,3850,1,15.5,98.1,0,1.2,0.7,36.2
Valencia,NM,37,69417,65,16.6,92.2,1.8,3.9,0.8,55
Albany,NY,36,297414,568,10.8,82.4,12.1,0.2,3.8,3.5
Allegany,NY,37,50602,49,14.8,97,1.1,0.3,1,1.1
Bronx,NY,34,1357589,32300,26.8,49.6,42.5,1.2,4,49.5
Broome,NY,27,196947,279,12.9,90.9,4.1,0.2,3.4,2.3
Cattaraugus,NY,37,82502,63,13.6,94.8,1.3,2.5,0.6,1.1
Cayuga,NY,32,81454,118,11.6,94.4,4.1,0.3,0.4,2.1
Chautauqua,NY,53,136409,128,14.9,95.8,2.4,0.5,0.5,4.5
Chemung,NY,44,89512,219,13.5,91.5,6.1,0.3,1,2
Chenango,NY,37,51755,58,13.5,97.9,1,0.2,0.4,1.6
Clinton,NY,37,82047,79,12.6,94.4,3.8,0.4,0.8,2.7
Columbia,NY,44,63622,100,9.8,92.6,4.9,0.3,1.3,3
Cortland,NY,37,48622,97,13.4,97,1.3,0.2,0.6,1.7
Delaware,NY,22,47534,33,12.6,96.7,1.8,0.3,0.6,2.6
Dutchess,NY,24,294849,368,8,85,10.2,0.3,3.2,7.9
Erie,NY,39,930703,891,13,83,13.6,0.6,1.8,3.5
Essex,NY,57,38676,22,11.5,95.2,3.3,0.3,0.7,2.4
Franklin,NY,37,51033,31,14.6,86.2,7.2,5.7,0.4,4
Fulton,NY,44,55625,112,12.7,96.4,2,0.2,0.8,1.9
Genesee,NY,38,59257,120,9.1,95.3,2.6,0.7,0.6,1.9
Greene,NY,57,49682,77,12.9,92,6.2,0.3,0.7,4.8
Hamilton,NY,33,5228,3,9.5,98.2,1.1,0.2,0.2,1.4
Herkimer,NY,44,63780,45,12.4,97.6,0.9,0.2,0.6,1.3
Jefferson,NY,53,116384,91,14.5,91.1,5.6,0.5,1.4,4.1
Kings,NY,34,2486235,35211,23.3,50.6,38.3,0.5,9,19.5
Lewis,NY,37,26571,21,12.9,98.3,0.9,0.3,0.3,0.8
Livingston,NY,32,64205,102,10.8,95,3.1,0.3,0.9,2.3
Madison,NY,38,70337,107,10.4,96.4,1.7,0.6,0.7,1.2
Monroe,NY,39,733366,1112,12.7,80.8,14.7,0.3,2.8,5.5
Montgomery,NY,44,48968,121,13,96.3,1.8,0.3,0.8,7.9
Nassau,NY,34,1333137,4650,5.9,80.8,11.3,0.2,6.6,11.6
"New York",NY,34,1593200,69390,18.6,66.5,19.8,0.7,10.9,25
Niagara,NY,27,217008,415,11.4,90.6,6.5,1,0.8,1.4
Oneida,NY,27,234105,193,12.8,91.3,6.1,0.2,1.4,3.6
Onondaga,NY,25,458053,587,12.1,84.7,10.2,0.9,2.5,2.6
Ontario,NY,38,104461,162,8.4,95.7,2.3,0.2,0.9,2.3
Orange,NY,36,372893,457,10.5,85.5,10.2,0.4,2.3,14.6
Orleans,NY,37,43387,111,12.6,91.2,7.2,0.5,0.4,3.8
Oswego,NY,23,123373,129,13,97.5,0.8,0.4,0.5,1.4
Otsego,NY,44,62746,63,12.6,96.1,2,0.2,0.9,2.1
Putnam,NY,26,100507,435,4.6,94.4,2.6,0.2,1.9,9.1
Queens,NY,34,2241600,20520,15.4,55.1,21.1,0.7,21,25.7
Rensselaer,NY,40,155251,237,9.8,90.9,5.6,0.2,2.2,2.5
Richmond,NY,36,464573,7944,10.1,80.3,10.8,0.4,7.3,14.3
Rockland,NY,36,292916,1681,9.7,80.2,11.9,0.3,6.5,12.1
"St. Lawrence",NY,53,111380,41,15.2,95.1,2.5,0.9,0.9,1.9
Saratoga,NY,57,214859,265,6.3,95.8,1.5,0.2,1.6,1.8
Schenectady,NY,16,149078,723,11.6,86,8.6,0.3,3.4,3.8
Schoharie,NY,57,32277,52,11.6,97.2,1.4,0.4,0.5,2
Schuyler,NY,51,19342,59,11.5,96.8,1.7,0.5,0.4,1.3
Seneca,NY,22,34855,107,11.3,93.2,4.9,0.2,1,2.8
Steuben,NY,35,98632,71,13.6,96.5,1.5,0.3,1.1,1
Suffolk,NY,34,1474927,1617,7.3,87.4,7.8,0.3,3.3,12.5
Sullivan,NY,35,76539,79,13.5,87.7,9.5,0.2,1.5,10.8
Tioga,NY,38,51475,99,9.6,97.5,0.8,0.2,0.8,1.3
Tompkins,NY,37,100018,210,12.9,84.3,3.8,0.3,9.7,3.5
Ulster,NY,40,182693,162,10.6,90.6,6.2,0.3,1.6,6.7
Warren,NY,44,65548,75,10,97.6,0.8,0.2,0.7,1.5
Washington,NY,32,63024,75,11,95.6,3.3,0.2,0.4,2.4
Wayne,NY,26,93609,155,10.1,94.8,3.2,0.3,0.6,2.9
Westchester,NY,32,940807,2174,8.7,77.8,14.9,0.4,5.6,17.8
Wyoming,NY,37,42693,72,10,93.1,5.8,0.3,0.5,3.1
Yates,NY,57,24756,73,12.8,98.7,0.7,0,0.3,1.2
Alamance,NC,16,140533,327,11.3,78.5,18.9,0.5,1.2,9.8
Alexander,NC,21,35492,136,10.4,92.9,5.3,0.1,1.1,3.1
Alleghany,NC,41,10900,46,15.7,97.9,1.5,0.3,0.3,7.8
Anson,NC,38,25499,48,17.9,49.8,48.6,0.6,0.8,1.2
Ashe,NC,30,25347,59,14,98.4,0.8,0.4,0.2,3.1
Avery,NC,30,17641,71,15,94.8,3.9,0.4,0.5,3.2
Beaufort,NC,22,46018,56,17.4,71.1,28,0.2,0.3,3.8
Bertie,NC,34,19480,28,20.6,36.4,62.7,0.5,0.2,1.2
Bladen,NC,33,32938,38,19.2,60.3,36.8,2.3,0.3,5
Brunswick,NC,35,89162,104,13.3,85.4,12.6,0.8,0.5,3.4
Buncombe,NC,27,218876,334,13.4,90.2,7.3,0.4,1,3.7
Burke,NC,37,89399,176,13.6,88.5,6.7,0.5,3.7,4.6
Cabarrus,NC,44,150244,412,10.2,82.9,14.5,0.4,1.4,7.6
Caldwell,NC,37,79122,168,13,93.3,5.4,0.2,0.5,3.6
Camden,NC,51,8967,37,8.6,84,14.4,0.3,0.9,1.2
Carteret,NC,44,62525,120,11.7,90.8,7,0.5,0.7,2
Caswell,NC,47,23608,56,14.8,64.6,34.7,0.2,0.2,2.6
Catawba,NC,44,151641,379,10.9,87.4,8.3,0.3,3.1,8
Chatham,NC,40,58002,85,9.6,82.6,14.2,0.4,2.1,11.3
Cherokee,NC,30,25796,57,15.3,95.2,1.9,1.5,0.4,1.2
Chowan,NC,57,14528,84,16.1,62.7,36.4,0.3,0.3,2.1
Clay,NC,41,9765,45,12.7,98.2,1,0.4,0.1,0.9
Cleveland,NC,37,98288,212,14.8,77.6,20.9,0.2,0.8,1.6
Columbus,NC,54,54746,58,20.3,64.9,31.1,3.2,0.2,2.8
Craven,NC,37,90795,128,13.7,72.3,24.6,0.5,1.3,3.5
Cumberland,NC,25,304520,467,16.6,56.2,36.7,1.7,2.4,6
Currituck,NC,51,23112,88,9.5,91.1,7,0.4,0.7,1.9
Dare,NC,21,33903,88,7.9,95.5,3,0.3,0.5,3.1
Davidson,NC,44,154623,280,12.7,88.5,9.3,0.5,1,5.2
Davie,NC,21,39136,148,9,91.6,6.8,0.3,0.6,5.2
Duplin,NC,40,51985,64,17.6,71.5,27.5,0.4,0.4,18.9
Durham,NC,40,242582,836,14.2,56.2,38,0.4,4.1,10.8
Edgecombe,NC,54,54129,107,19.9,41.6,57.5,0.3,0.3,3.7
Forsyth,NC,25,325967,796,13.2,71.3,25.9,0.4,1.4,9.3
Franklin,NC,37,54429,111,12.8,70.7,27.9,0.5,0.4,6.6
Gaston,NC,23,196137,551,14.2,83.1,14.7,0.3,1.1,4.8
Gates,NC,57,11224,33,13.7,62.3,36.3,0.5,0.6,0.8
Graham,NC,33,8085,28,16.9,91.6,0.5,7.2,0.4,0.9
Granville,NC,39,53674,101,13.6,63.8,34.2,0.7,0.6,5.7
Greene,NC,47,20026,75,17.4,59,40.2,0.4,0.1,10.8
Guilford,NC,25,443519,683,14.3,64.3,30.9,0.5,3.2,5.2
Halifax,NC,54,56023,77,22.1,41.6,53.9,3.5,0.6,1.1
Harnett,NC,37,103692,174,15.2,74.3,22.4,0.9,1,8
Haywood,NC,44,56482,102,13.3,97.1,1.4,0.6,0.4,1.7
Henderson,NC,44,97217,260,11.4,95.2,3.1,0.3,0.7,7.9
Hertford,NC,38,23574,67,19.5,35.5,62.3,1.3,0.6,1.8
Hoke,NC,41,41016,105,16.4,50.6,36.3,10.1,1.2,9.6
Hyde,NC,30,5413,9,19.1,63.9,35.3,0.4,0.4,1.8
Iredell,NC,44,140924,245,10.2,84.7,12.8,0.3,1.5,4.8
Jackson,NC,37,35368,72,15,85.6,2.3,10.5,0.6,2
Johnston,NC,40,146437,185,12.6,82.1,16.2,0.5,0.6,10
Jones,NC,31,10311,22,16,64.8,34.1,0.4,0.3,3.5
Lee,NC,37,55704,217,13.2,78,20.2,0.6,0.8,14.1
Lenoir,NC,54,57961,145,17.1,57.8,41.2,0.2,0.5,4.2
Lincoln,NC,32,69851,234,10.7,92.3,6.3,0.3,0.4,8.1
McDowell,NC,57,43201,98,12.6,94.2,4,0.3,1,4.2
Macon,NC,35,32148,62,13.1,96.9,1.6,0.4,0.6,2.3
Madison,NC,41,20256,45,15.2,98,1,0.3,0.4,1.6
Martin,NC,23,24643,53,18.5,54.3,44.8,0.4,0.4,2.3
Mecklenburg,NC,39,796372,1513,12,64.8,29.8,0.4,3.9,8.9
Mitchell,NC,48,15784,71,14.1,98.5,0.4,0.6,0.2,2.9
Montgomery,NC,53,27322,56,15.5,77.4,19.7,0.7,1.8,14.1
Moore,NC,44,81685,117,12.2,82.8,14.9,0.8,0.7,5
Nash,NC,32,91378,169,14.2,61.7,36.4,0.6,0.7,4.2
"New Hanover",NC,40,179553,903,13.4,81.2,16.3,0.4,1.1,2.7
Northampton,NC,23,21483,40,20.2,40.2,58.9,0.4,0.3,0.8
Onslow,NC,53,152440,199,16.7,75.8,17.8,0.9,2.2,6.3
Orange,NC,44,118386,296,11.6,79,13.3,0.5,5.7,5.1
Pamlico,NC,41,12735,38,15.5,75.8,23,0.6,0.5,1.4
Pasquotank,NC,27,38270,169,16.6,57.9,39.5,0.4,1.2,1.8
Pender,NC,37,46429,53,14.1,78,20.7,0.5,0.3,4.6
Perquimans,NC,23,12080,49,15.7,74.2,25.2,0.1,0.2,0.7
Person,NC,39,37217,95,12.5,70.4,28.3,0.6,0.2,2.4
Pitt,NC,33,142570,219,17.5,63.4,34.1,0.3,1.2,4.1
Polk,NC,47,19134,80,10.2,93.3,5.6,0.3,0.3,3.2
Randolph,NC,44,138367,176,11,92.3,5.6,0.5,0.8,9.3
Richmond,NC,41,46781,99,18.6,65.5,30.9,1.9,0.8,3.9
Robeson,NC,33,127586,134,22.4,35.5,24.3,38.5,0.6,7.3
Rockingham,NC,44,92614,164,12.9,79.1,19.6,0.3,0.4,4.4
Rowan,NC,27,135099,264,12.1,82.2,15.8,0.4,0.9,5.6
Rutherford,NC,44,63771,113,15.2,87.5,11.2,0.3,0.4,2.2
Sampson,NC,37,63063,67,16.9,67.5,28.9,1.8,1.1,14.9
Scotland,NC,27,37180,117,18.8,50.2,38.2,9.8,0.6,1.2
Stanly,NC,44,58964,149,12.4,86,11.6,0.3,1.7,3.1
Stokes,NC,21,45858,101,11,94.2,4.9,0.3,0.3,2.1
Surry,NC,44,72601,135,14.3,94.8,4,0.3,0.5,8.5
Swain,NC,38,13167,25,15.5,68.2,2.4,27.3,0.3,1.8
Transylvania,NC,57,29626,78,12.2,93.7,4.6,0.3,0.6,1.1
Tyrrell,NC,30,4157,11,21.9,59.5,38.6,0.2,1.4,6.4
Union,NC,57,162929,256,9.3,85.6,11.9,0.5,1.2,8.7
Vance,NC,27,43771,173,19.3,48.9,50.1,0.2,0.5,5.6
Wake,NC,32,748815,900,8.7,73.2,20.6,0.4,4.4,7.3
Warren,NC,23,19729,46,19.5,39.9,54.7,4.8,0.2,2.2
Washington,NC,45,13282,38,19.7,48.8,50.2,0,0.6,2.7
Watauga,NC,37,42472,136,14.7,96.4,1.9,0.3,0.9,1.8
Wayne,NC,53,114448,207,15,64.4,33.3,0.5,0.8,6.5
Wilkes,NC,37,67390,89,13.6,94.3,4.2,0.2,0.8,4.5
Wilson,NC,54,76281,206,16.7,58.9,39.5,0.3,0.7,8
Yadkin,NC,40,37668,112,11.3,95.6,3.6,0.2,0.3,8.5
Yancey,NC,30,18201,58,15.6,98.3,1,0.4,0.2,4.4
Adams,ND,58,2433,2,10,98.2,1.1,0.3,0.4,0.3
Barnes,ND,48,11075,7,10.3,97.8,0.8,0.8,0.3,0.7
Benson,ND,23,6999,5,22.5,48.1,0.1,51.2,0.2,2.4
Billings,ND,41,813,1,11,99.5,0,0.1,0,0.5
Bottineau,ND,58,6741,4,10.5,96.9,0.3,1.8,0.5,0.6
Bowman,ND,58,3048,3,8.4,99.5,0,0.2,0,0.7
Burke,ND,58,2032,2,10.6,99.3,0.3,0.2,0.1,0.6
Burleigh,ND,32,73818,45,8.5,94.4,0.3,3.9,0.5,0.8
Cass,ND,44,131019,74,8.7,95.2,1.3,1.2,1.2,1.5
Cavalier,ND,58,4330,3,9.6,98.8,0.2,0.5,0.1,0.7
Dickey,ND,52,5487,5,12.5,97.8,0.1,0.6,0.9,2.3
Divide,ND,58,2149,2,10.1,99.1,0,0.2,0.7,0.8
Dunn,ND,25,3442,2,12.2,86.8,0.1,12.9,0.2,1.1
Eddy,ND,58,2626,4,9.5,95.8,0.1,3.7,0.2,1
Emmons,ND,52,3845,3,13.1,99.4,0.1,0.1,0.4,1.5
Foster,ND,58,3580,6,8.4,99.1,0.1,0.5,0,0.9
"Golden Valley",ND,37,1739,2,12.4,98.4,0.2,0.9,0.1,1.2
"Grand Forks",ND,37,65940,46,11,93.1,1.3,2.7,1.3,2.3
Grant,ND,32,2615,2,16.4,97.9,0,1.6,0.3,1.1
Griggs,ND,58,2497,4,9.8,99.4,0,0.4,0.2,0.6
Hettinger,ND,52,2486,2,11.3,98.4,0.2,1.2,0.2,0.3
Kidder,ND,52,2481,2,12.3,99.5,0.2,0.2,0.1,1.5
LaMoure,ND,58,4384,4,10.5,99.5,0.1,0.2,0.1,0.5
Logan,ND,52,2059,2,11.6,98.9,0.1,0.1,0.4,0.8
McHenry,ND,52,5511,3,13.3,99,0.2,0.5,0,0.8
McIntosh,ND,52,3013,3,13.2,99.2,0,0.1,0.4,1
McKenzie,ND,29,5594,2,13.7,76.9,0.3,22,0.2,1.1
McLean,ND,37,8604,4,11.6,92.6,0,6.2,0.2,1.5
Mercer,ND,35,8364,8,7.4,95.9,0,2.6,0.7,0.6
Morton,ND,51,25528,13,9.5,95.1,0.2,2.9,0.5,0.9
Mountrail,ND,25,6513,4,13.6,66.9,0.2,31.7,0.3,2.6
Nelson,ND,58,3424,3,9.5,98.6,0.2,0.6,0.5,0.7
Oliver,ND,41,1813,3,8.9,97.2,0.2,2.1,0.1,0.7
