County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Wabasha,MN,42,22200,42,6.3,98.6,0.3,0.3,0.6,1.9
Wadena,MN,57,13650,26,11.9,98,0.7,0.7,0.3,0.8
Waseca,MN,42,19330,46,8,96,2.4,0.6,0.8,3.1
Washington,MN,57,220426,563,4.7,90.7,3,0.4,4.3,2.5
Watonwan,MN,62,11234,26,8.8,97.6,0.6,0.4,1.1,17.8
Wilkin,MN,62,6802,9,8.2,97.9,0.3,0.8,0.3,1.9
Winona,MN,21,49276,79,9.7,95.7,1,0.3,2.4,1.2
Wright,MN,38,110730,168,4.9,96.9,0.6,0.4,1.1,1.7
"Yellow Medicine",MN,39,10449,14,8.5,96.9,0.2,2.5,0.2,2.4
Adams,MS,27,32099,70,22.3,43.5,55.7,0.1,0.3,0.8
Alcorn,MS,27,35306,88,16.2,87.7,11.4,0.1,0.4,1.8
Amite,MS,37,13435,18,18.5,57.6,42,0.1,0.1,1.5
Attala,MS,33,19552,27,20,58.6,40.6,0.2,0.3,1.6
Benton,MS,31,7852,19,20,64.5,34.7,0.5,0.1,1.1
Bolivar,MS,40,38641,44,27.3,33.5,65.7,0.1,0.5,1.2
Calhoun,MS,32,14652,25,16.9,70.4,28.9,0.2,0.1,3.4
Carroll,MS,37,10397,17,16.1,65.5,34.3,0,0.2,1
Chickasaw,MS,53,19184,38,17.6,57.7,41.6,0.2,0.3,2.9
Choctaw,MS,37,9572,23,21.7,68,31.4,0.4,0.2,0.9
Claiborne,MS,31,11492,24,25.5,15.2,84.3,0,0.4,0.9
Clarke,MS,57,17670,26,18.9,66,33.7,0.1,0.1,0.7
Clay,MS,45,21223,52,20.6,42.4,57.2,0,0.2,1
Coahoma,MS,40,29002,52,28.3,25.6,73.3,0,0.6,1.2
Copiah,MS,33,29164,38,21.2,48.6,50.7,0,0.3,1.3
Covington,MS,45,20273,49,19.3,63.1,36.2,0.1,0.2,0.9
DeSoto,MS,26,137004,287,8.6,81,17,0.3,1,3.3
Forrest,MS,54,75095,161,20.4,63.3,34.5,0.3,1.1,1.4
Franklin,MS,37,8411,15,19.5,63.3,36.2,0.1,0.1,0.6
George,MS,53,21259,44,16.1,89.7,9.2,0.3,0.2,2.5
Greene,MS,37,13183,18,19.8,73,26.5,0.3,0.2,0.8
Grenada,MS,45,22861,54,18.5,57.1,42,0.2,0.5,0.7
Hancock,MS,41,46711,98,15.7,90.6,7,0.6,0.8,2.3
Harrison,MS,53,193810,334,16.5,72.3,22.6,0.5,2.7,2.5
Hinds,MS,33,249345,287,20.5,33.3,65.2,0.1,0.6,0.9
Holmes,MS,34,21099,28,32.2,18.7,80.7,0.2,0.1,0.9
Humphreys,MS,34,10527,25,30.2,25.9,73.6,0.1,0.3,2.1
Issaquena,MS,38,1909,5,29,37.3,62.4,0,0,0.5
Itawamba,MS,48,23359,44,13.7,92.8,6.6,0.1,0.2,1.1
Jackson,MS,53,135940,187,15,74.9,21.8,0.4,1.8,2.4
Jasper,MS,31,18162,27,20.8,47,52.5,0,0.2,0.7
Jefferson,MS,37,9432,18,27.9,13.7,86,0.1,0.1,0.7
"Jefferson Davis",MS,34,13158,32,22.9,41.6,57.8,0.1,0.2,0.9
Jones,MS,54,66160,95,18.7,71.4,27.4,0.4,0.4,3.5
Kemper,MS,30,10246,13,19.9,38.8,58.8,2.1,0.1,0.9
Lafayette,MS,37,40842,65,15.8,73.3,24.1,0.2,1.8,1.3
Lamar,MS,41,44616,90,13.9,84.2,14.2,0.2,0.9,1.5
Lauderdale,MS,54,77218,110,18.8,57.9,40.6,0.2,0.6,1.2
